# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0) - https://creativecommons.org/licenses/by/4.0/
# Attribution: Šaltinis: Baldininkai.org viešų šaltinių Lietuvos baldų gamintojų kandidatų katalogas, https://www.baldininkai.org/atviri-duomenys/, versija 2026-08-07
# Generated: 2026-08-07
# Version: 2026-08-07
# Source: Baldininkai.org - https://www.baldininkai.org - open data: https://www.baldininkai.org/atviri-duomenys/
# Records: 1420
# Official source: Juridinių asmenų registro (Registrų centro) finansinių ataskaitų duomenys Lietuvos atvirų duomenų portale - https://data.gov.lt/datasets/1484/ - API model: datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita
# Financial periods: 4652
"slug","profile_url","trading_name","legal_name","company_code","fiscal_period_start","fiscal_period_end","filing_registration_date","revenue_eur","profit_before_tax_eur","financial_source_url","financial_api_model_path","jar_entity_id","revenue_api_record_id","revenue_line_name","revenue_evidence_registration_date","profit_before_tax_api_record_id","profit_before_tax_line_name","profit_before_tax_evidence_registration_date","standard_names","template_names"
"sostines-baldai","https://www.baldininkai.org/gamintojas/sostines-baldai/","Sostinės baldai","UAB Sostinės baldai","300610679","2022-01-01","2022-12-31","2023-06-28","357932","-26907","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","c402cbee-14c2-47b6-a730-191beeb404d7","95c9ccdb-e758-4820-8533-114f8e9fbba8","PARDAVIMO PAJAMOS","2023-06-28","7aec0a14-005d-4f29-b0a3-0683da9a28f2","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2023-06-28","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"sostines-baldai","https://www.baldininkai.org/gamintojas/sostines-baldai/","Sostinės baldai","UAB Sostinės baldai","300610679","2021-01-01","2021-12-31","2022-05-24","336407","12280","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","c402cbee-14c2-47b6-a730-191beeb404d7","bf5993a9-f58c-4c31-8204-207bd6ac696e","PARDAVIMO PAJAMOS","2022-05-24","5f9e4645-d4fa-4c92-84f7-dc5bfb56280e","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2022-05-24","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"busto-baldai","https://www.baldininkai.org/gamintojas/busto-baldai/","Būsto baldai","UAB Būsto baldai","302301884","2024-01-01","2024-12-31","2025-05-26","122539","415","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","2b60df59-6126-46b9-85e8-122c39b3573f","d476d6e5-ee61-4882-95ee-51a8eb1028d5","PARDAVIMO PAJAMOS","2025-05-26","e2ad850d-50f7-4db1-9389-897c4351e7cd","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2025-05-26","PELNO (NUOSTOLIŲ) ATASKAITA","Labai mažų įmonių, taikančių išimtis, finansinių ataskaitų rinkinys"
"busto-baldai","https://www.baldininkai.org/gamintojas/busto-baldai/","Būsto baldai","UAB Būsto baldai","302301884","2023-01-01","2023-12-31","2024-05-31","132615","","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","2b60df59-6126-46b9-85e8-122c39b3573f","1fd25d7b-2ee5-47ef-b969-dd540366799a","PARDAVIMO PAJAMOS","2024-05-31","","","","PELNO (NUOSTOLIŲ) ATASKAITA (Trumpa)","Labai mažų įmonių, taikančių išimtis, finansinių ataskaitų rinkinys"
"busto-baldai","https://www.baldininkai.org/gamintojas/busto-baldai/","Būsto baldai","UAB Būsto baldai","302301884","2022-01-01","2022-12-31","2023-05-31","131289","","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","2b60df59-6126-46b9-85e8-122c39b3573f","ee075ab8-d194-4dac-89c3-4b102f861c7a","PARDAVIMO PAJAMOS","2023-05-31","","","","PELNO (NUOSTOLIŲ) ATASKAITA (Trumpa)","Labai mažų įmonių, taikančių išimtis, finansinių ataskaitų rinkinys"
"busto-baldai","https://www.baldininkai.org/gamintojas/busto-baldai/","Būsto baldai","UAB Būsto baldai","302301884","2021-01-01","2021-12-31","2022-05-30","137535","","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","2b60df59-6126-46b9-85e8-122c39b3573f","be17b0a8-ff2c-4bcc-98c0-bb030832b759","PARDAVIMO PAJAMOS","2022-05-30","","","","PELNO (NUOSTOLIŲ) ATASKAITA (Trumpa)","Labai mažų įmonių, taikančių išimtis, finansinių ataskaitų rinkinys"
"baldu-nestandartas","https://www.baldininkai.org/gamintojas/baldu-nestandartas/","Baldų nestandartas","UAB Baldų nestandartas","305566069","2023-06-01","2024-05-31","2024-10-23","479464","5016","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","8b9409e1-9cad-402c-9ba1-3199b91e5b69","ba3efaf4-4e05-4481-a21e-d3b18fe7231d","PARDAVIMO PAJAMOS","2024-10-23","8b55536f-be50-4dc7-a1e4-543fec4527e8","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2024-10-23","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"baldu-nestandartas","https://www.baldininkai.org/gamintojas/baldu-nestandartas/","Baldų nestandartas","UAB Baldų nestandartas","305566069","2022-06-01","2023-05-31","2023-10-19","332057","3629","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","8b9409e1-9cad-402c-9ba1-3199b91e5b69","3e5c6ced-7280-467b-92df-2b89132dec21","PARDAVIMO PAJAMOS","2023-10-19","871e1e4c-ba87-4753-90bc-dfeb410a10f4","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2023-10-19","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"baldu-nestandartas","https://www.baldininkai.org/gamintojas/baldu-nestandartas/","Baldų nestandartas","UAB Baldų nestandartas","305566069","2021-06-01","2022-05-31","2022-10-18","233451","-10327","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","8b9409e1-9cad-402c-9ba1-3199b91e5b69","bf442aaf-ec51-4912-bb9c-7b2ed3cb6f4c","PARDAVIMO PAJAMOS","2022-10-18","57b51bca-dfd7-435a-aefe-039a3c3ce9ab","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2022-10-18","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"baldu-nestandartas","https://www.baldininkai.org/gamintojas/baldu-nestandartas/","Baldų nestandartas","UAB Baldų nestandartas","305566069","2020-06-04","2021-05-31","2021-11-05","140974","-28774","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","8b9409e1-9cad-402c-9ba1-3199b91e5b69","29dcbb5d-9788-49b9-8f6f-4d38880a1b8e","PARDAVIMO PAJAMOS","2021-11-05","ca9417d6-db59-4108-b2bc-12f2b6a8eff6","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2021-11-05","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
